# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3 psi2_state_4 psi2_state_5 psi2_state_6 psi2_state_7
-4.403082450000000286e-02 1.374598488263437059e-32 8.981555202862528284e-34 3.301086535850203828e-34 1.936823520384381372e-32 6.306592649840538008e-33 4.736060594278396177e-36 1.810950770534452919e-31 1.181772955324995972e-32
-4.323026409999999875e-02 3.575765007360313018e-32 9.765724982534298116e-34 8.414981507840146923e-34 9.967191345954726219e-32 2.023208660504990834e-33 1.691102332465667449e-31 5.916411269435676483e-33 5.919784605907541655e-33
-4.242970360000000024e-02 1.420503531268840779e-33 6.385948492629490129e-34 1.118987455679572760e-33 4.983404311812619592e-34 3.554425363013072030e-36 1.623069316960812700e-33 5.416446041458243983e-34 2.136509800120130774e-34
-4.162914320000000307e-02 2.971727912599236152e-33 1.625126597165897874e-34 5.370223330353117099e-33 1.290445459568097344e-33 1.375583351494528777e-33 4.869673724268691670e-34 5.327281807757221078e-33 1.295750698957136722e-32
-4.082858269999999762e-02 1.002683075616800349e-33 5.941875623337880132e-32 4.274102409673685942e-32 4.055857316978505018e-33 1.434335108636363386e-32 2.220583466972656871e-33 2.656817248600446843e-32 1.645204568962162188e-36
-4.002802230000000044e-02 1.540429336133208048e-34 1.435396247707263562e-32 2.913642791176446077e-33 3.593308000982700163e-33 1.492855683909364309e-32 2.045725536720660512e-33 8.645764744709811923e-33 1.811519659938296584e-36
-3.922746180000000193e-02 3.120685064128339875e-34 2.007747495991530316e-32 1.653652486509889531e-32 6.729188057454746480e-34 1.345245333827334147e-34 3.712129842987934335e-32 2.281229986874125438e-33 1.504882318644184180e-33
-3.842690139999999782e-02 7.925046595117627179e-35 2.943740721796263530e-34 6.516574289193304707e-35 6.935029719238241043e-34 1.493100287448886044e-34 3.118818304685299197e-34 1.954783358863400546e-34 1.335569972526721019e-35
-3.762634089999999931e-02 2.790689914694854522e-37 4.089225355685220187e-36 1.352077749191662391e-35 5.664123074065257608e-36 4.853818186040333090e-36 2.426114656794578003e-36 1.476152566878872081e-35 2.315354815817394208e-36
-3.682578050000000214e-02 6.084630517194978691e-34 4.973414134492182406e-33 7.982825875606573558e-33 8.019581940355488588e-33 6.687476792159794491e-33 4.865904441135099475e-33 9.957794458021151539e-33 4.914403122190300130e-33
-3.602522009999999802e-02 8.669893278864644723e-35 7.406640189962988917e-35 9.770478013087949291e-35 2.207592519427694759e-33 7.162346177907304064e-35 3.475134543302194631e-33 2.014440019342683804e-34 1.153441286245209257e-33
-3.522465959999999952e-02 4.943278759993602137e-34 1.617871755534597472e-33 1.952016375235899469e-34 5.217094690795840273e-34 2.692109663317123559e-35 8.948318241581667062e-34 4.745667487316085729e-34 4.318321230084688679e-34
